SP_open,SP_high,SP_low,SP_close,SP_Ajclose,SP_volume,DJ_open,DJ_high,DJ_low,DJ_close,DJ_Ajclose,DJ_volume,EU_Price,EU_open,EU_high,EU_low,Adj_Close
141.639999,141.880005,140.429993,141.259995,123.218033,155806700,13258.95996,13265.36035,13131.20996,13199.54981,13199.54981,123980000,1.3234,1.332,1.3368,1.3213,159.889999
140.220001,140.339996,139.339996,139.860001,121.996834,146896000,13198.19043,13198.19043,13020.86035,13074.75,13074.75,125000000,1.3142,1.3232,1.3238,1.3106,157.210007
139.380005,140.199997,139.259995,139.789993,121.935814,137439400,13067.17969,13088.11035,13012.45996,13060.13965,13060.13965,109530000,1.3064,1.314,1.3165,1.3034,158.309998
138.029999,139.839996,137.839996,138.220001,120.56633,127555900,13057.57031,13057.71973,12903.78027,12929.58984,12929.58984,105580000,1.3102,1.3102,1.3135,1.3034,159.369995
137.949997,138.339996,135.759995,135.899994,118.542625,235360300,12929.44043,12929.58984,12710.55957,12715.92969,12715.92969,159290000,1.3081,1.3107,1.3145,1.3053,161.100006
137.289993,137.539993,136.75,137,119.502167,154133000,12716.91992,12844.82031,12716.91992,12805.38965,12805.38965,125210000,1.311,1.3082,1.3157,1.3065,161.070007
137.130005,138.899994,137.029999,138.789993,121.063538,154321500,12806.4502,12986.95996,12806.29981,12986.58008,12986.58008,119780000,1.3186,1.3108,1.3213,1.31,162.699997
138.470001,138.820007,137.009995,137.139999,119.62426,169246700,12986.2002,12986.34961,12845.28027,12849.58984,12849.58984,140990000,1.3077,1.3186,1.3203,1.307,160.850006
137.839996,138.039993,136.580002,137.050003,119.545753,147825300,12850.87988,12986.76953,12850.79981,12921.41016,12921.41016,120990000,1.3139,1.3066,1.3148,1.2994,160.460007
137.839996,139.360001,137.699997,139.080002,121.316505,147877600,12921.79004,13131.36035,12921.79004,13115.54004,13115.54004,115320000,1.3125,1.3136,1.3174,1.309,160.25
138.460007,139.080002,138.380005,138.610001,120.906502,123884200,13114.55957,13114.55957,13027.49023,13032.75,13032.75,113520000,1.3121,1.3127,1.3142,1.3058,159.309998
138.630005,139.149994,137.070007,137.720001,120.13018,198666700,13028.73047,13080.2002,12896.82031,12964.09961,12964.09961,139810000,1.3136,1.3122,1.3166,1.307,159.429993
138.330002,138.830002,137.869995,137.949997,120.330811,143199600,12964.48047,13082.54004,12964.25,13029.25977,13029.25977,212080000,1.3224,1.3137,1.3228,1.3129,159.539993
136.539993,136.910004,135.940002,136.789993,119.318947,171844900,13028.2002,13028.2002,12845.58008,12927.16992,12927.16992,139370000,1.3155,1.3192,1.3211,1.3104,159.070007
136.910004,137.660004,136.800003,137.309998,119.772537,137484200,12927.76953,13050.29981,12926.49023,13001.55957,13001.55957,134110000,1.3194,1.3157,1.3218,1.3144,159.300003
138.649994,139.25,138.529999,139.190002,121.412399,150252200,12997.69043,13105.7002,12993.59961,13090.71973,13090.71973,135260000,1.3223,1.3195,1.3236,1.3174,159.619995
138.889999,140.320007,138.809998,140.160004,122.258545,136291600,13090.11035,13227.82031,13075.95996,13204.62012,13204.62012,107570000,1.3209,1.3222,1.3264,1.3199,161.029999
140.580002,140.789993,139.800003,140.389999,122.459175,130725000,13204.7002,13266.67969,13192.20996,13228.30957,13228.30957,110850000,1.3255,1.3191,1.3273,1.3157,161.380005
140.110001,140.210007,139.490005,139.869995,122.005577,115092200,13228.30957,13228.75977,13176.00977,13213.62988,13213.62988,127870000,1.3241,1.3239,1.3266,1.3207,161.880005
139.789993,141.660004,139.630005,140.740005,122.764465,138832200,13214.16016,13338.66016,13174.65039,13279.32031,13279.32031,123400000,1.3239,1.3243,1.3285,1.3205,161.320007
139.919998,140.460007,139.460007,140.320007,122.398117,121081000,13278.11035,13278.11035,13192.20996,13268.57031,13268.57031,100770000,1.3157,1.3239,1.3244,1.3124,160.589996
140.339996,140.449997,138.990005,139.25,121.464783,143759700,13267.58984,13284.08984,13175.63965,13206.58984,13206.58984,102090000,1.3152,1.3154,1.3182,1.3099,158.970001
138.520004,139.300003,136.919998,137,119.502167,193927300,13204.62012,13205,13022.33984,13038.26953,13038.26953,113790000,1.3083,1.3152,1.318,1.3079,159.470001
136.509995,137.559998,136.460007,137.100006,119.589378,127765900,13035.84961,13049.08984,12970,13008.53027,13008.53027,110080000,1.3054,1.303,1.3067,1.2957,159.080002
136.279999,136.770004,134.919998,136.550003,119.109604,213377700,13000.73047,13000.73047,12810.38965,12932.08984,12932.08984,138620000,1.3003,1.3058,1.3066,1.2982,156
135.100006,136.610001,134.490005,135.740005,118.403091,220752500,12921.80957,12921.80957,12748.48047,12835.05957,12835.05957,147460000,1.2933,1.2999,1.3005,1.291,154.470001
136.679993,136.850006,135.710007,136.020004,118.647324,150600000,12831.58008,12931.70996,12820.29981,12855.04004,12855.04004,151650000,1.2936,1.2931,1.298,1.2923,154.770004
135.169998,136.869995,135.110001,135.610001,118.289673,153032400,12851.79004,12918.00977,12779.28027,12820.59961,12820.59961,148370000,1.2917,1.2933,1.2959,1.2905,153.559998
134.309998,135.610001,133.910004,134.110001,116.981247,163910000,12818.49023,12818.86035,12661.48047,12695.34961,12695.34961,143190000,1.2826,1.2882,1.2905,1.282,151.330002
134.020004,134.809998,133.130005,133.339996,116.309593,207629300,12695.04981,12758.42969,12608.16016,12632,12632,156060000,1.2731,1.2824,1.287,1.2721,149.740005
133.940002,134.550003,132.800003,132.830002,115.864746,207265500,12617.32031,12722.62988,12597.33984,12598.54981,12598.54981,143130000,1.2716,1.2732,1.276,1.268,149.460007
132.860001,133.020004,130.789993,130.860001,114.146362,247992900,12598.32031,12611.41992,12440.51953,12442.49023,12442.49023,147430000,1.2694,1.2716,1.275,1.2666,152.800003
131.369995,131.600006,129.550003,129.740005,113.169388,319615900,12443.01953,12492.96973,12336.75977,12369.37988,12369.37988,240720000,1.2783,1.2685,1.2795,1.2641,154.550003
130.160004,132.020004,129.949997,131.970001,115.114586,177861100,12369.15039,12508.11035,12367.71973,12504.48047,12504.48047,142110000,1.2814,1.2784,1.2827,1.2726,154.649994
132.309998,133.229996,131.339996,132.199997,115.315186,197531200,12505.37988,12575.95996,12447.33008,12502.80957,12502.80957,133650000,1.2684,1.2814,1.2819,1.2658,152.080002
131.25,132.460007,129.990005,132.270004,115.376244,204958400,12501.51953,12508.29981,12311.55957,12496.15039,12496.15039,152190000,1.2586,1.2687,1.2689,1.2546,151.619995
132.630005,132.839996,131.419998,132.529999,115.603043,167357600,12491.91016,12539.58984,12419.62988,12529.75,12529.75,126810000,1.2536,1.259,1.262,1.2515,151.410004
132.479996,132.850006,131.779999,132.100006,115.227974,135465600,12530.74023,12533.12012,12421.53027,12454.83008,12454.83008,93000000,1.2517,1.2541,1.2604,1.2497,152.679993
133.160004,133.929993,131.169998,133.699997,116.623619,152883500,12454.83008,12611.61035,12454.59961,12580.69043,12580.69043,107510000,1.2498,1.2542,1.2576,1.2463,151.020004
